Program to calculate energy of water
Input NAME of configuration file
Number of molecules 100000
first line 0.230000 0.628000 0.113000
Box size 14.420000
Thread 11 processed npair 8333
Thread 11 processed npair 8332
Thread 10 processed npair 16666
Thread 8 processed npair 33332
Thread 11 processed npair 8331
Thread 9 processed npair 24999
Thread 10 processed npair 16665
Thread 11 processed npair 8330
Thread 4 processed npair 66664
Thread 6 processed npair 49998
Thread 8 processed npair 33331
Thread 10 processed npair 16664
Thread 3 processed npair 74997
Thread 7 processed npair 41665
Thread 11 processed npair 8329
Thread 10 processed npair 16663
Thread 0 processed npair 99999
Thread 9 processed npair 24998
Thread 11 processed npair 8328
Thread 8 processed npair 33330
Thread 10 processed npair 16662
Thread 1 processed npair 91665
Thread 11 processed npair 8327
Thread 6 processed npair 49997
Thread 4 processed npair 66663
Thread 10 processed npair 16661
Thread 11 processed npair 8326
Thread 10 processed npair 16660
Thread 8 processed npair 33329
Thread 9 processed npair 24997
Thread 11 processed npair 8325
Thread 3 processed npair 74996
Thread 2 processed npair 83331
Thread 10 processed npair 16659
Thread 7 processed npair 41664
Thread 11 processed npair 8324
Thread 6 processed npair 49996
Thread 8 processed npair 33328
Thread 4 processed npair 66662
Thread 10 processed npair 16658
Thread 0 processed npair 99998
Thread 11 processed npair 8323
Thread 10 processed npair 16657
Thread 9 processed npair 24996
Thread 11 processed npair 8322
Thread 1 processed npair 91664
Thread 8 processed npair 33327
Thread 10 processed npair 16656
Thread 11 processed npair 8321
Thread 6 processed npair 49995
Thread 10 processed npair 16655
Thread 4 processed npair 66661
Thread 3 processed npair 74995
Thread 11 processed npair 8320
Thread 7 processed npair 41663
Thread 9 processed npair 24995
Thread 10 processed npair 16654
Thread 8 processed npair 33326
Thread 11 processed npair 8319
Thread 10 processed npair 16653
Thread 11 processed npair 8318
Thread 0 processed npair 99997
Thread 6 processed npair 49994
Thread 8 processed npair 33325
Thread 10 processed npair 16652
Thread 11 processed npair 8317
Thread 4 processed npair 66660
Thread 9 processed npair 24994
Thread 1 processed npair 91663
Thread 10 processed npair 16651
Thread 11 processed npair 8316
Thread 3 processed npair 74994
Thread 2 processed npair 83330
Thread 8 processed npair 33324
Thread 10 processed npair 16650
Thread 11 processed npair 8315
Thread 7 processed npair 41662
Thread 6 processed npair 49993
Thread 10 processed npair 16649
Thread 11 processed npair 8314
Thread 4 processed npair 66659
Thread 9 processed npair 24993
Thread 10 processed npair 16648
Thread 8 processed npair 33323
Thread 11 processed npair 8313
Thread 0 processed npair 99996
Thread 10 processed npair 16647
Thread 11 processed npair 8312
Thread 6 processed npair 49992
Thread 10 processed npair 16646
Thread 8 processed npair 33322
Thread 11 processed npair 8311
Thread 3 processed npair 74993
Thread 9 processed npair 24992
Thread 1 processed npair 91662
Thread 4 processed npair 66658
Thread 10 processed npair 16645
Thread 11 processed npair 8310
Thread 7 processed npair 41661
Thread 10 processed npair 16644
Thread 11 processed npair 8309
Thread 8 processed npair 33321
Thread 6 processed npair 49991
Thread 10 processed npair 16643
Thread 11 processed npair 8308
Thread 9 processed npair 24991
Thread 4 processed npair 66657
Thread 0 processed npair 99995
Thread 5 processed npair 58331
